ProductID,ProductCode,ProductName,ProductDescription,StandardUnitCost,UnitPrice,ReorderLevel,TargetLevel,QuantityPerUnit,Discontinued,MinimumReorderQuantity,ProductCategoryID,AddedBy,AddedOn,ModifiedBy,ModifiedOn
1,NWTDRI- 74,Almonds,<div>Premium almonds from California's Central Valley</div>,7.5000,10.0000,30,20,5 kg pkg.,False,5,10,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
2,NWTBEV- 34,Beer,"<div>Belgian-style: a flavorful, balanced beer with characteristics of hops, malt and fruity yeast</div>",10.5000,14.0000,90,60,24 - 12 oz bottles,False,15,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
3,NWTJAM- 6,Boysenberry Spread,"<div>Boy, some berries. A <font face=""Berlin Sans FB"" color=""#6F3198""><strong>delicious</strong></font><font
color=""#6F3198""> </font>alternative topping for toast, pancakes and waffles</div>",18.7500,25.0000,130,100,12 - 8 oz jars,False,25,12,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
4,NWTBAK- 85,Brownie Mix,"<div>Rich and fudgy, for a dense, chewy brownie with fudge topping</div>",9.0000,12.4900,30,20,3 boxes,False,5,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
5,NWTCON- 4,Cajun Seasoning,"<div>Adds <font face=Forte color=""#C55A11"">zingy </font>new taste to meat, seafood, vegetables, eggs and more</div>",16.5000,22.0000,60,40,48 - 6 oz jars,False,10,8,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
6,NWTBAK- 86,Cake Mix,"<div><font face=""Bahnschrift Condensed""><em>Versatile</em></font><em> </em>yellow mix for moist, fluffy cakes and cupcakes</div>",10.5000,15.9900,30,20,4 boxes,False,5,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
7,NWTBEV- 1,Chai,"<div><font face=""Monotype Corsiva"" color=""#0C0C0C""><strong><em>Black tea</em></strong></font><em> </em>with a blend of cardamom, ginger, cloves and cinnamon</div>",13.5000,18.0000,60,40,10 boxes x 20 bags,False,10,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
8,NWTCFV- 91,Cherry Pie Filling,"<div>Real, whole, tart <font face=""Bauhaus 93"" color=""#CC0066""><strong>cherries</strong></font><font
face=""Bauhaus 93""> </font>hand-picked at their peak</div>",1.0000,2.0000,60,40,15.25 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
9,NWTSOU- 99,Chicken Soup,"<div>To warm the soul. Rich broth chock-full of tender chicken, fresh diced vegetables and hearty egg noodles</div>",1.0000,1.9500,260,200,1,False,90,16,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
10,NWTCDY- 48,Chocolate,"<div>Smooth and satisfying, 72% <font face=Broadway color=""#7A4E2B"">cacao </font>for an antioxidant boost</div>",9.5625,12.7500,130,100,10 pkgs,False,25,3,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
11,NWTBAK- 19,Chocolate Biscuits Mix,"<div>A flaky, buttery, <font face=""Lucida Handwriting"" color=""#7A4E2B""><strong>chocolatey </strong></font>twist on traditional biscuits</div>",6.9000,9.2000,30,20,10 boxes x 12 pieces,False,5,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
12,NWTSOU- 41,Clam Chowder,"<div>New England style with a creamy base, with generous portions of clams and bacon</div>",7.2375,9.6500,60,40,12 - 12 oz cans,False,10,16,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
13,NWTBEV- 43,Coffee,<div>Pre-ground medium roast is a full-flavored blend of 100% Arabica beans from Guatemala and Ethiopia</div>,34.5000,46.0000,130,100,16 - 500 g tins,False,25,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
14,NWTCFV- 93,Corn,"<div>Delicious, tender tri-color sweet corn on the cob</div>",1.0000,1.2000,60,40,14.5 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
15,NWTCM- 40,Crab Meat,"<div>Authentic Maryland Blue crab meat, packed by hand</div>",13.8000,18.4000,160,120,24 - 4 oz tins,False,30,5,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
